rank	taxon	parent	total	segmented	segmented_fraction	majority_segment	min_segment	max_segment
Family	Qinviridae	Muvirales	8	8	100	2	2	2
Family	Aspiviridae	Naedrevirales	8	5	62.5	3	3	4
Family	Chuviridae	Jingchuvirales	44	12	27.27272727272727	2	2	2
Family	Nyamiviridae	Mononegavirales	29	1	3.4482758620689653	2	2	2
Family	Rhabdoviridae	Mononegavirales	442	7	1.583710407239819	2	2	2
Family	Yueviridae	Goujianvirales	2	2	100	2	2	2
Family	Cruliviridae	Elliovirales	4	4	100	3	3	3
Family	Fimoviridae	Elliovirales	32	32	100	5	4	10
Family	Hantaviridae	Elliovirales	90	87	96.66666666666667	3	2	3
Family	Peribunyaviridae	Elliovirales	201	197	98.00995024875621	3	2	3
Family	Phasmaviridae	Elliovirales	29	29	100	3	3	3
Family	Tospoviridae	Elliovirales	26	24	92.3076923076923	3	2	3
Family	Arenaviridae	Hareavirales	83	82	98.79518072289156	2	2	3
Family	Discoviridae	Hareavirales	7	1	14.285714285714285	3	3	3
Family	Konkoviridae	Hareavirales	1	1	100	4	4	4
Family	Leishbuviridae	Hareavirales	1	1	100	3	3	3
Family	Mypoviridae	Hareavirales	1	1	100	3	3	3
Family	Nairoviridae	Hareavirales	72	71	98.61111111111111	3	2	3
Family	Phenuiviridae	Hareavirales	178	175	98.31460674157303	3	2	8
Family	Wupedeviridae	Hareavirales	1	1	100	3	3	3
Family	Amnoonviridae	Articulavirales	1	1	100	10	10	10
Family	Orthomyxoviridae	Articulavirales	22	13	59.09090909090909	8	6	8
Family	Tosoviridae	NA	1	1	100	2	2	2
Family	Curvulaviridae	Durnavirales	8	2	25	2	2	2
Family	Partitiviridae	Durnavirales	71	58	81.69014084507043	2	2	3
Family	Picobirnaviridae	Durnavirales	5	3	60	2	2	2
Family	Secoviridae	Picornavirales	119	91	76.47058823529412	2	2	2
Family	Potyviridae	Patatavirales	268	7	2.6119402985074625	2	2	2
Family	Hadakaviridae	NA	2	2	100	10	10	11
Family	Birnaviridae	NA	17	16	94.11764705882352	2	2	2
Family	Polymycoviridae	NA	14	14	100	4	4	8
Subfamily	Hamaparvovirinae	Parvoviridae	42	1	2.380952380952381	2	2	2
Subfamily	Regressovirinae	Tombusviridae	17	3	17.647058823529413	2	2	2
Subfamily	Betarhabdovirinae	Rhabdoviridae	150	7	4.666666666666667	2	2	2
Subfamily	Actantavirinae	Hantaviridae	5	5	100	3	3	3
Subfamily	Agantavirinae	Hantaviridae	1	1	100	3	3	3
Subfamily	Mammantavirinae	Hantaviridae	83	80	96.3855421686747	3	2	3
Subfamily	Repantavirinae	Hantaviridae	1	1	100	3	3	3
Subfamily	Comovirinae	Secoviridae	71	62	87.32394366197182	2	2	2
Genus	Bidensovirus	Bidnaviridae	1	1	100	2	2	2
Genus	Brevihamaparvovirus	Hamaparvovirinae	3	1	33.33333333333333	2	2	2
Genus	Cofodevirus	Metaxyviridae	1	1	100	4	4	4
Genus	Babuvirus	Nanoviridae	6	6	100	6	6	6
Genus	Nanovirus	Nanoviridae	20	20	100	8	6	8
Genus	Begomovirus	Geminiviridae	629	188	29.88871224165342	2	2	2
Genus	Gemytripvirus	Genomoviridae	1	1	100	3	3	3
Genus	Botybirnavirus	Botybirnaviridae	9	9	100	2	2	2
Genus	Alphachrysovirus	Chrysoviridae	25	25	100	4	3	4
Genus	Betachrysovirus	Chrysoviridae	14	14	100	4	4	7
Genus	Megabirnavirus	Megabirnaviridae	5	5	100	2	2	2
Genus	Quadrivirus	Quadriviridae	5	4	80	4	4	4
Genus	Alternavirus	Alternaviridae	5	5	100	4	3	4
Genus	Mimoreovirus	Sedoreoviridae	1	1	100	11	11	11
Genus	Orbivirus	Sedoreoviridae	21	20	95.23809523809523	10	10	10
Genus	Phytoreovirus	Sedoreoviridae	3	3	100	12	9	12
Genus	Rotavirus	Sedoreoviridae	9	9	100	11	11	11
Genus	Seadornavirus	Sedoreoviridae	7	7	100	12	8	12
Genus	Aquareovirus	Spinareoviridae	7	7	100	11	5	11
Genus	Coltivirus	Spinareoviridae	5	5	100	12	10	12
Genus	Cypovirus	Spinareoviridae	10	10	100	10	4	11
Genus	Dinovernavirus	Spinareoviridae	1	1	100	9	9	9
Genus	Fijivirus	Spinareoviridae	7	7	100	10	4	10
Genus	Mycoreovirus	Spinareoviridae	3	2	66.66666666666666	11	11	12
Genus	Orthoreovirus	Spinareoviridae	21	20	95.23809523809523	10	4	10
Genus	Oryzavirus	Spinareoviridae	1	1	100	10	10	10
Genus	Cystovirus	Cystoviridae	7	7	100	3	3	3
Genus	Omegatetravirus	Alphatetraviridae	3	2	66.66666666666666	2	2	2
Genus	Benyvirus	Benyviridae	4	4	100	2	2	5
Genus	Alfamovirus	Bromoviridae	1	1	100	3	3	3
Genus	Anulavirus	Bromoviridae	4	4	100	3	3	3
Genus	Bromovirus	Bromoviridae	7	7	100	3	3	3
Genus	Cucumovirus	Bromoviridae	4	4	100	3	3	3
Genus	Ilarvirus	Bromoviridae	32	22	68.75	3	2	3
Genus	Oleavirus	Bromoviridae	1	1	100	3	3	3
Genus	Crinivirus	Closteroviridae	14	13	92.85714285714286	2	2	3
Genus	Blunervirus	Kitaviridae	3	3	100	4	4	4
Genus	Cilevirus	Kitaviridae	7	7	100	2	2	2
Genus	Higrevirus	Kitaviridae	1	1	100	3	3	3
Genus	Idaeovirus	Mayoviridae	2	2	100	2	2	2
Genus	Pteridovirus	Mayoviridae	2	2	100	2	2	2
Genus	Furovirus	Virgaviridae	7	7	100	2	2	2
Genus	Goravirus	Virgaviridae	2	2	100	2	2	2
Genus	Hordeivirus	Virgaviridae	3	3	100	2	2	3
Genus	Pecluvirus	Virgaviridae	2	2	100	2	2	2
Genus	Pomovirus	Virgaviridae	5	5	100	3	3	3
Genus	Tobravirus	Virgaviridae	3	3	100	2	2	2
Genus	Alphanodavirus	Nodaviridae	9	8	88.88888888888889	2	2	2
Genus	Betanodavirus	Nodaviridae	16	8	50	2	2	2
Genus	Dianthovirus	Regressovirinae	3	3	100	2	2	2
Genus	Ourmiavirus	Botourmiaviridae	3	3	100	3	3	3
Genus	Yingvirus	Qinviridae	8	8	100	2	2	2
Genus	Ophiovirus	Aspiviridae	8	5	62.5	3	3	4
Genus	Boscovirus	Chuviridae	2	2	100	2	2	2
Genus	Chuvivirus	Chuviridae	2	2	100	2	2	2
Genus	Demapteravirus	Chuviridae	1	1	100	2	2	2
Genus	Doliuvirus	Chuviridae	1	1	100	2	2	2
Genus	Mivirus	Chuviridae	11	1	9.090909090909092	2	2	2
Genus	Pterovirus	Chuviridae	1	1	100	2	2	2
Genus	Scarabeuvirus	Chuviridae	7	4	57.14285714285714	2	2	2
Genus	Tapwovirus	Nyamiviridae	2	1	50	2	2	2
Genus	Dichorhavirus	Betarhabdovirinae	6	5	83.33333333333334	2	2	2
Genus	Varicosavirus	Betarhabdovirinae	43	2	4.651162790697675	2	2	2
Genus	Yuyuevirus	Yueviridae	2	2	100	2	2	2
Genus	Lincruvirus	Cruliviridae	4	4	100	3	3	3
Genus	Emaravirus	Fimoviridae	32	32	100	5	4	10
Genus	Actinovirus	Actantavirinae	3	3	100	3	3	3
Genus	Percilovirus	Actantavirinae	2	2	100	3	3	3
Genus	Agnathovirus	Agantavirinae	1	1	100	3	3	3
Genus	Loanvirus	Mammantavirinae	2	2	100	3	3	3
Genus	Mobatvirus	Mammantavirinae	10	10	100	3	2	3
Genus	Orthohantavirus	Mammantavirinae	67	64	95.52238805970148	3	2	3
Genus	Thottimvirus	Mammantavirinae	4	4	100	3	3	3
Genus	Reptillovirus	Repantavirinae	1	1	100	3	3	3
Genus	Gryffinivirus	Peribunyaviridae	2	2	100	3	3	3
Genus	Herbevirus	Peribunyaviridae	3	3	100	3	3	3
Genus	Khurdivirus	Peribunyaviridae	1	1	100	3	3	3
Genus	Lakivirus	Peribunyaviridae	1	1	100	3	3	3
Genus	Lambavirus	Peribunyaviridae	1	1	100	3	3	3
Genus	Orthobunyavirus	Peribunyaviridae	187	183	97.86096256684492	3	2	3
Genus	Pacuvirus	Peribunyaviridae	5	5	100	3	3	3
Genus	Shangavirus	Peribunyaviridae	1	1	100	3	3	3
Genus	Cicadellivirus	Phasmaviridae	1	1	100	3	3	3
Genus	Feravirus	Phasmaviridae	4	4	100	3	3	3
Genus	Hymovirus	Phasmaviridae	2	2	100	3	3	3
Genus	Jonvirus	Phasmaviridae	1	1	100	3	3	3
Genus	Orthophasmavirus	Phasmaviridae	19	19	100	3	3	3
Genus	Sawastrivirus	Phasmaviridae	1	1	100	3	3	3
Genus	Wuhivirus	Phasmaviridae	1	1	100	3	3	3
Genus	Orthotospovirus	Tospoviridae	26	24	92.3076923076923	3	2	3
Genus	Antennavirus	Arenaviridae	4	4	100	3	3	3
Genus	Hartmanivirus	Arenaviridae	11	11	100	2	2	3
Genus	Innmovirus	Arenaviridae	1	1	100	3	3	3
Genus	Mammarenavirus	Arenaviridae	59	58	98.30508474576271	2	2	3
Genus	Reptarenavirus	Arenaviridae	8	8	100	2	2	2
Genus	Orthodiscovirus	Discoviridae	7	1	14.285714285714285	3	3	3
Genus	Olpivirus	Konkoviridae	1	1	100	4	4	4
Genus	Shilevirus	Leishbuviridae	1	1	100	3	3	3
Genus	Hubavirus	Mypoviridae	1	1	100	3	3	3
Genus	Norwavirus	Nairoviridae	2	2	100	2	2	2
Genus	Ocetevirus	Nairoviridae	1	1	100	3	3	3
Genus	Orthonairovirus	Nairoviridae	64	63	98.4375	3	3	3
Genus	Sabavirus	Nairoviridae	1	1	100	2	2	2
Genus	Shaspivirus	Nairoviridae	1	1	100	3	3	3
Genus	Sitinavirus	Nairoviridae	1	1	100	2	2	2
Genus	Striwavirus	Nairoviridae	1	1	100	3	3	3
Genus	Xinspivirus	Nairoviridae	1	1	100	3	3	3
Genus	Bandavirus	Phenuiviridae	9	9	100	3	3	3
Genus	Beidivirus	Phenuiviridae	1	1	100	3	3	3
Genus	Bocivirus	Phenuiviridae	4	4	100	3	2	3
Genus	Citricivirus	Phenuiviridae	1	1	100	3	3	3
Genus	Coguvirus	Phenuiviridae	7	7	100	2	2	2
Genus	Entovirus	Phenuiviridae	1	1	100	2	2	2
Genus	Goukovirus	Phenuiviridae	5	5	100	3	3	3
Genus	Horwuvirus	Phenuiviridae	3	3	100	4	3	4
Genus	Hudivirus	Phenuiviridae	1	1	100	3	3	3
Genus	Hudovirus	Phenuiviridae	1	1	100	3	3	3
Genus	Ixovirus	Phenuiviridae	3	3	100	2	2	2
Genus	Laulavirus	Phenuiviridae	5	5	100	3	3	3
Genus	Lentinuvirus	Phenuiviridae	1	1	100	2	2	2
Genus	Mechlorovirus	Phenuiviridae	2	2	100	6	6	8
Genus	Mobuvirus	Phenuiviridae	4	4	100	3	2	3
Genus	Phasivirus	Phenuiviridae	7	7	100	3	3	3
Genus	Phlebovirus	Phenuiviridae	84	81	96.42857142857143	3	2	3
Genus	Pidchovirus	Phenuiviridae	2	2	100	3	3	3
Genus	Rubodvirus	Phenuiviridae	4	4	100	3	3	5
Genus	Tanzavirus	Phenuiviridae	1	1	100	3	3	3
Genus	Tenuivirus	Phenuiviridae	11	11	100	4	2	6
Genus	Uukuvirus	Phenuiviridae	20	20	100	3	2	3
Genus	Wenrivirus	Phenuiviridae	1	1	100	4	4	4
Genus	Wumivirus	Wupedeviridae	1	1	100	3	3	3
Genus	Tilapinevirus	Amnoonviridae	1	1	100	10	10	10
Genus	Alphainfluenzavirus	Orthomyxoviridae	1	1	100	8	8	8
Genus	Betainfluenzavirus	Orthomyxoviridae	1	1	100	8	8	8
Genus	Deltainfluenzavirus	Orthomyxoviridae	1	1	100	7	7	7
Genus	Gammainfluenzavirus	Orthomyxoviridae	1	1	100	7	7	7
Genus	Isavirus	Orthomyxoviridae	1	1	100	8	8	8
Genus	Mykissvirus	Orthomyxoviridae	2	2	100	8	8	8
Genus	Quaranjavirus	Orthomyxoviridae	6	3	50	7	6	7
Genus	Thogotovirus	Orthomyxoviridae	8	3	37.5	6	6	6
Genus	Fraservirus	Tosoviridae	1	1	100	2	2	2
Genus	Orthocurvulavirus	Curvulaviridae	8	2	25	2	2	2
Genus	Alphapartitivirus	Partitiviridae	24	21	87.5	2	2	2
Genus	Betapartitivirus	Partitiviridae	29	20	68.96551724137932	2	2	2
Genus	Cryspovirus	Partitiviridae	2	2	100	2	2	2
Genus	Deltapartitivirus	Partitiviridae	6	5	83.33333333333334	2	2	3
Genus	Gammapartitivirus	Partitiviridae	10	10	100	2	2	3
Genus	Orthopicobirnavirus	Picobirnaviridae	5	3	60	2	2	2
Genus	Comovirus	Comovirinae	14	13	92.85714285714286	2	2	2
Genus	Fabavirus	Comovirinae	11	10	90.9090909090909	2	2	2
Genus	Nepovirus	Comovirinae	46	39	84.78260869565217	2	2	2
Genus	Cheravirus	Secoviridae	9	9	100	2	2	2
Genus	Sadwavirus	Secoviridae	10	8	80	2	2	2
Genus	Stralarivirus	Secoviridae	3	3	100	2	2	2
Genus	Torradovirus	Secoviridae	9	9	100	2	2	2
Genus	Bymovirus	Potyviridae	7	7	100	2	2	2
Genus	Hadakavirus	Hadakaviridae	2	2	100	10	10	11
Genus	Aquabirnavirus	Birnaviridae	8	7	87.5	2	2	2
Genus	Avibirnavirus	Birnaviridae	2	2	100	2	2	2
Genus	Blosnavirus	Birnaviridae	2	2	100	2	2	2
Genus	Dronavirus	Birnaviridae	1	1	100	2	2	2
Genus	Entomobirnavirus	Birnaviridae	2	2	100	2	2	2
Genus	Ronavirus	Birnaviridae	1	1	100	2	2	2
Genus	Telnavirus	Birnaviridae	1	1	100	2	2	2
Genus	Polymycovirus	Polymycoviridae	14	14	100	4	4	8
